"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 3, 2025 2:01:17 AM PST","23107592011","Order","111-5681555-5564256","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","SPOTSYLVANIA","VA","22553","MarketplaceFacilitator","30.59","1.62","0","0","0","0","0","0","0","0","-1.62","-4.59","-6.21","0","0","19.79"
"Mar 3, 2025 2:38:08 AM PST","23107592011","Order","112-9359329-2847442","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","KING GEORGE","VA","22485","MarketplaceFacilitator","85.31","4.26","0","0","0","0","0","0","-5.00","0","-4.26","-12.05","-12.20","0","0","56.06"
"Mar 3, 2025 6:50:06 AM PST","23107592011","Order","113-1114212-8608265","OX-S8RX-8DDW","Epoxy Resin Kit 1 Gallon,Crystal Clear Casting Table Top Epoxy Resin,Bubble Free & Fast Curing Resin for Countertop, Wood,Jewelry,DIY, Tumblers,Art,Re","1","amazon.com","Amazon","EDGERTON","WI","53534","MarketplaceFacilitator","49.99","2.47","0","0","0","0","0","0","-5.00","0","-2.47","-6.75","-9.16","0","0","29.08"
"Mar 3, 2025 11:13:22 AM PST","23107592011","Transfer","","","To your account ending in: 676, Bank Transfer ID: 1WF1JB3F46NNR71","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-35.95","-35.95"
"Mar 3, 2025 3:08:15 PM PST","23107592011","Order","S01-5938271-1934005","E0-GH8D-U35C","YOBTOP Epoxy Resin 1 Gallon Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Crafts, Jewelry Making, Table Top, River Table","1","sim1.stores.amazon.com","Amazon","INDIANAPOLIS","IN","46214","","0","0","0","0","0","0","0","0","0","0","0","0","-16.78","0","0","-16.78"
"Mar 3, 2025 5:45:42 PM PST","23107592011","Order","S01-2793055-2532426","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","SAN ANGELO","TX","76904","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 3, 2025 7:31:29 PM PST","23107592011","Order","S01-7825202-4327656","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","LITCHFIELD","MI","49252","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 3, 2025 7:41:04 PM PST","23107592011","Order","S01-1403354-8370069","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","CEDAR LAKE","IN","46303","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 3, 2025 10:51:00 PM PST","23107592011","Order","S01-9185821-2607630","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","VANDERBILT","PA","15486","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 4, 2025 7:08:26 AM PST","23107592011","Order","114-5268984-1865042","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","AVALON","CA","90704","MarketplaceFacilitator","85.31","8.53","0","0","0","0","0","0","0","0","-8.53","-12.80","-12.20","0","0","60.31"
"Mar 4, 2025 1:28:56 PM PST","23107592011","Order","S01-2971638-7223665","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","CARROLLTON","GA","30117","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 4, 2025 3:46:52 PM PST","23107592011","Order","113-9672311-5177046","DC-TOS1-YWP7","YOBTOP Epoxy Resin 16oz Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Cr","1","amazon.com","Amazon","HENDERSONVILLE","TN","37075","MarketplaceFacilitator","10.99","1.07","0","0","0","0","0","0","0","0","-1.07","-1.65","-5.37","0","0","3.97"
"Mar 4, 2025 5:39:40 PM PST","23107592011","Order","S01-1990626-3898854","E0-GH8D-U35C","YOBTOP Epoxy Resin 1 Gallon Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Crafts, Jewelry Making, Table Top, River Table","1","sim1.stores.amazon.com","Amazon","SIERRA VISTA","AZ","85650","","0","0","0","0","0","0","0","0","0","0","0","0","-16.78","0","0","-16.78"
"Mar 4, 2025 10:59:50 PM PST","23139728561","Order","113-9273635-8221814","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","San Angelo","TX","76901","MarketplaceFacilitator","85.31","6.63","1.72","0","0","0","0","0","-6.72","0","-6.63","-12.05","-12.20","0","0","56.06"
"Mar 4, 2025 11:08:28 PM PST","23139728561","Order","114-1055318-0173053","OX-S8RX-8DDW","Epoxy Resin Kit 1 Gallon,Crystal Clear Casting Table Top Epoxy Resin,Bubble Free & Fast Curing Resin for Countertop, Wood,Jewelry,DIY, Tumblers,Art,Re","1","amazon.com","Amazon","BENNINGTON","NE","68007","MarketplaceFacilitator","49.99","2.75","0","0","0","0","0","0","0","0","-2.75","-7.50","-9.16","0","0","33.33"
"Mar 4, 2025 11:32:35 PM PST","23139728561","Order","S01-0093294-6151661","51-MQ61-6SU7","YOBTOP Epoxy Resin 80oz Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Crafts, Jewelry Making, Table Top, River Table","1","sim1.stores.amazon.com","Amazon","TIVERTON","RI","02878","","0","0","0","0","0","0","0","0","0","0","0","0","-14.06","0","0","-14.06"
"Mar 5, 2025 2:58:23 AM PST","23139728561","Order","111-7833785-7651430","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","SALEM","VA","24153","MarketplaceFacilitator","85.31","4.26","0","0","0","0","0","0","-5.00","0","-4.26","-12.05","-12.20","0","0","56.06"
"Mar 5, 2025 3:20:07 AM PST","23139728561","Order","S01-1294983-2048419","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","BILLINGS","MT","59102","","0","0","0","0","0","0","0","0","0","0","0","0","-14.98","0","0","-14.98"
"Mar 5, 2025 5:07:19 AM PST","23139728561","Order","111-3806384-5169045","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","DUBUQUE","IA","52003","MarketplaceFacilitator","85.31","5.62","6.99","0","0","0","0","0","-11.99","0","-5.62","-12.05","-12.20","0","0","56.06"
"Mar 5, 2025 5:14:15 AM PST","23139728561","Order","114-1511157-5340219","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","FORT PIERCE","FL","34946","MarketplaceFacilitator","85.31","5.97","2.99","0","0","0","0","0","-2.99","0","-5.97","-12.80","-12.20","0","0","60.31"
"Mar 5, 2025 5:17:27 AM PST","23139728561","Order","112-5275731-4865061","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","HALF MOON BAY","CA","94019","MarketplaceFacilitator","27.19","2.55","2.99","0","0","0","0","0","-2.99","0","-2.55","-4.08","-6.21","0","0","16.90"
"Mar 5, 2025 7:06:25 PM PST","23139728561","Adjustment","","X8-VCXU-74WN","FBA Inventory Reimbursement - General Adjustment","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.09","-18.09"
"Mar 5, 2025 8:48:14 PM PST","23139728561","Order","S01-7616057-0524468","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","AVON","IN","46123","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 6, 2025 12:06:07 AM PST","23139728561","Order","111-3432831-9878614","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","ATLANTA","GA","30345","MarketplaceFacilitator","27.19","2.18","0","0","0","0","0","0","0","0","-2.18","-4.08","-6.21","0","0","16.90"
"Mar 6, 2025 4:37:16 AM PST","23139728561","Order","111-3551745-1593032","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","AMERICAN FORK","UT","84003","MarketplaceFacilitator","27.19","2.03","0","0","0","0","0","0","0","0","-2.03","-4.08","-6.21","0","0","16.90"
"Mar 6, 2025 5:02:33 AM PST","23139728561","Transfer","","","To your account ending in: 676, Bank Transfer ID: 3HWYS86AMIB03G4","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-21.05","-21.05"
"Mar 6, 2025 6:04:02 AM PST","23139728561","Order","113-1722930-1321844","OX-S8RX-8DDW","Epoxy Resin Kit 1 Gallon,Crystal Clear Casting Table Top Epoxy Resin,Bubble Free & Fast Curing Resin for Countertop, Wood,Jewelry,DIY, Tumblers,Art,Re","1","amazon.com","Amazon","LA GRANDE","OR","97850","","49.99","0","0","0","0","0","0","0","0","0","0","-7.50","-9.16","0","0","33.33"
"Mar 6, 2025 6:35:57 AM PST","23139728561","Order","114-1502051-9220200","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","HUNTINGTON BEACH","CA","92649","MarketplaceFacilitator","85.31","6.61","0","0","0","0","0","0","0","0","-6.61","-12.80","-12.20","0","0","60.31"
"Mar 6, 2025 7:09:39 AM PST","23139728561","Order","S01-0210659-3002021","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","2","sim1.stores.amazon.com","Amazon","KENT","OH","44240","","0","0","0","0","0","0","0","0","0","0","0","0","-32.08","0","0","-32.08"
"Mar 6, 2025 8:20:24 AM PST","23139728561","Order","111-8479338-0431455","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","HONOLULU","HI","96817","MarketplaceFacilitator","30.59","1.44","5.25","0","0","0","0","0","-5.25","0","-1.44","-4.59","-6.21","0","0","19.79"
"Mar 6, 2025 11:00:58 PM PST","23171353421","Order","113-4099509-8152211","OX-S8RX-8DDW","Epoxy Resin Kit 1 Gallon,Crystal Clear Casting Table Top Epoxy Resin,Bubble Free & Fast Curing Resin for Countertop, Wood,Jewelry,DIY, Tumblers,Art,Re","1","amazon.com","Amazon","GULF BREEZE","FL","32563","MarketplaceFacilitator","49.99","3.50","0","0","0","0","0","0","0","0","-3.50","-7.50","-9.16","0","0","33.33"
"Mar 7, 2025 2:15:03 AM PST","23171353421","Order","114-2817616-3585006","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","STATEN ISLAND","NY","10306","MarketplaceFacilitator","85.31","7.13","0","0","0","0","0","0","-5.00","0","-7.13","-12.05","-12.20","0","0","56.06"
"Mar 7, 2025 5:34:02 AM PST","23171353421","Order","S01-5215751-5376402","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","JUNCTION CITY","OR","97448","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 7, 2025 6:11:11 AM PST","23171353421","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-308.64","-308.64"
"Mar 7, 2025 6:58:48 AM PST","23171353421","Order","112-2094696-7089034","X8-VCXU-74WN","YOBTOP 1000g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Low Viscosity Hard Type UV Epoxy Resin for DIY Jewelr","1","amazon.com","Amazon","PASADENA","CALIFORNIA","91106","MarketplaceFacilitator","27.19","2.79","2.99","0","0","0","0","0","-2.99","0","-2.79","-4.08","-6.21","0","0","16.90"
"Mar 7, 2025 10:46:51 AM PST","23171353421","Order","S01-4252617-1971631","70-6SRD-PN1Y","YOBTOP Epoxy Resin 32oz Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Crafts, Jewelry Making, Table Top, River Table","1","sim1.stores.amazon.com","Amazon","RIVERVIEW","FL","33578","","0","0","0","0","0","0","0","0","0","0","0","0","-11.34","0","0","-11.34"
"Mar 7, 2025 11:27:12 AM PST","23171353421","Service Fee","0b922abc-00a0-4d5b-a6f3-01dbaae66ba5","","Coupon Redemption Fee: Save $5 on 2 Gallon Epoxy Resin Kit","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
