"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in local currency, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"13 Mar 2025 10:32:46 PM UTC","24430784852","Order","406-2146482-7075564","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Ras Al Khaimah","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"13 Mar 2025 11:55:04 PM UTC","24430784852","Order","171-3900117-7013967","79-ZZXJ-ES5J","Epoxy Resin 1 Gallon, 0.5 Gallon Resin and 0.5 Gallon Hardener Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jeweller","1","amazon.ae","Amazon","رأس الخيمة","","","295.00","3.33","-3.33","-29.50","-14.70","0","0","250.80"
"14 Mar 2025 12:00:08 AM UTC","24430784852","Order","403-0233769-7893133","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Abu Dhabi","","","90.99","1.00","-1.00","-9.10","-11.03","0","0","70.86"
"14 Mar 2025 5:11:39 AM UTC","24445347672","Order","406-7407295-9575512","0V-8J8R-75X7","GEEEKART 500g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless,Transparent Solar Cure Sunlight Activated Resinfor D","1","amazon.ae","Amazon","Dubai","","","75.99","0.09","-0.09","-7.60","-10.50","0","0","57.89"
"14 Mar 2025 6:58:12 AM UTC","24445347672","Order","408-1091378-7056367","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Sharjah","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"14 Mar 2025 6:58:44 AM UTC","24445347672","Order","406-8844325-2429103","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","الفجيرة","","","59.99","0.72","-0.72","-6.00","-10.50","0","0","43.49"
"14 Mar 2025 7:43:06 AM UTC","24445347672","Order","402-8761359-5719546","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Abu Dhabi","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"14 Mar 2025 11:03:37 AM UTC","24445347672","Order","407-6979349-0677958","0V-8J8R-75X7","GEEEKART 500g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless,Transparent Solar Cure Sunlight Activated Resinfor D","1","amazon.ae","Amazon","Dubai","","","75.99","0","0","-7.60","-10.50","0","0","57.89"
"14 Mar 2025 8:22:10 PM UTC","24445347672","Order","404-0930366-1166754","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","2","amazon.ae","Amazon","Dubai","","","181.98","1.50","-1.50","-36.40","-22.05","0","0","123.53"
"14 Mar 2025 8:22:10 PM UTC","24445347672","Order","404-0930366-1166754","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","2","amazon.ae","Amazon","Dubai","","","181.98","1.50","-1.50","0","-22.05","0","0","159.93"
