"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 3, 2025 1:01:14 p.m. PST","23008402791","Order","702-3437106-3717005","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Montreal","Quebec","H2K 1N","Combined TCS+MTC","17.85","2.67","0","0","0","0","0","0","0","0","-2.67","-2.68","-7.71","-0.05","0","7.41"
"Mar 3, 2025 1:02:52 p.m. PST","23008402791","Order","702-3247608-9473858","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Vancouver","British Columbia","V6B 5X","Combined TCS+MTC","18.04","2.16","0","0","0","0","0","0","0","0","-2.16","-2.71","-7.71","-0.05","0","7.57"
"Mar 3, 2025 3:39:35 p.m. PST","23008402791","Service Fee","eeb2382b-ed7c-488e-bff6-1fb2b4e0044e","","Coupon Redemption Fee: Save 10% on 32oz Epoxy Resin Kit","1","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Mar 3, 2025 7:49:23 p.m. PST","23008402791","Order","701-4536939-0693847","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Saint-Romain","Quebec","G0Y 1L","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 3, 2025 9:12:31 p.m. PST","23008402791","Order","702-2320287-3106655","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","2","amazon.ca","Amazon","Scarborough","Ontario","M1B 5J","Combined TCS+MTC","35.70","4.40","7.85","0","0","0","0","0","-9.64","0","-4.40","-5.08","-15.42","-0.10","0","13.31"
"Mar 3, 2025 11:22:33 p.m. PST","23008402791","Order","702-8380422-3065800","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Bolton","Ontario","L7E 3C","Combined TCS+MTC","18.04","2.35","0","0","0","0","0","0","0","0","-2.35","-2.71","-7.71","-0.05","0","7.57"
"Mar 3, 2025 11:53:56 p.m. PST","23008402791","Order","702-2038512-6425834","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Tiny","Ontario","L9M0R","Combined TCS+MTC","18.04","2.35","0","0","0","0","0","0","0","0","-2.35","-2.71","-7.71","-0.05","0","7.57"
"Mar 4, 2025 12:56:54 a.m. PST","23008402791","Order","701-6243882-1635410","OX-S8RX-8DDW","Epoxy Resin Kit 1 Gallon,Crystal Clear Casting Table Top Epoxy Resin,Bubble Free & Fast Curing Resin for Countertop, Wood,Jewelry,DIY, Tumblers,Art,Re","1","amazon.ca","Amazon","PICTON","ONTARIO","K0K 2T","","65.99","0","0","0","0","0","0","0","0","0","0","-9.90","-18.69","-0.20","0","37.20"
"Mar 4, 2025 4:13:56 a.m. PST","23116784351","Order","702-8970048-3522639","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Vancouver","British Columbia","V6B 1B","Combined TCS+MTC","28.49","3.42","0","0","0","0","0","0","0","0","-3.42","-4.27","-8.84","-0.09","0","15.29"
"Mar 4, 2025 3:59:17 p.m. PST","23116784351","Order","701-2881230-4155456","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Montreal","Quebec","H3A 0J","Combined TCS+MTC","17.85","2.67","0","0","0","0","0","0","0","0","-2.67","-2.68","-7.71","-0.05","0","7.41"
