"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 8, 2025 12:43:14 AM PST","23163907481","Order","114-2599835-1178651","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","Huntington Beach","CA","92649","MarketplaceFacilitator","19.69","1.53","0","0","0","0","0","0","0","0","-1.53","-2.95","-7.48","0","0","9.26"
"Mar 8, 2025 2:13:35 AM PST","23163907481","Order","113-9959469-9215427","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","Las Vegas","NV","89131","MarketplaceFacilitator","48.03","4.02","0","0","0","0","0","0","0","0","-4.02","-5.76","-7.64","0","0","34.63"
"Mar 8, 2025 2:15:42 AM PST","23163907481","Order","114-5609122-4229043","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","HARTFORD","WI","53027","MarketplaceFacilitator","35.99","1.98","2.99","0","0","0","0","0","-2.99","0","-1.98","-5.40","-6.21","0","0","24.38"
"Mar 8, 2025 2:23:06 AM PST","23163907481","Order","114-9665202-0472234","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","DENVER","CO","80221","MarketplaceFacilitator","19.69","0.94","0","0","0","0","0","0","0","0","-0.94","-2.95","-7.48","0","0","9.26"
"Mar 8, 2025 2:59:07 AM PST","23163907481","Order","114-9727016-1682649","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","MOBERLY","MO","65270","MarketplaceFacilitator","48.03","3.83","0","0","0","0","0","0","0","0","-3.83","-5.76","-7.64","0","0","34.63"
"Mar 8, 2025 3:04:38 AM PST","23163907481","Order","112-0161380-0391437","20221224-US-FBA02","Epoxy Resin 1 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.com","Amazon","Ham Lake","MN","55304","MarketplaceFacilitator","49.99","3.66","0","0","0","0","0","0","-5.00","0","-3.66","-6.75","-9.16","0","0","29.08"
"Mar 8, 2025 3:18:14 AM PST","23163907481","Order","114-5234358-5079468","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","Middleburg","Florida","32068","MarketplaceFacilitator","19.69","1.48","0","0","0","0","0","0","0","0","-1.48","-2.95","-7.48","0","0","9.26"
"Mar 8, 2025 3:26:48 AM PST","23163907481","Order","111-6272420-7665017","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","NORRISTOWN","PA","19401","MarketplaceFacilitator","21.69","1.30","1.49","0","0","0","0","0","-1.49","0","-1.30","-3.25","-7.48","0","0","10.96"
"Mar 8, 2025 3:36:35 AM PST","23163907481","Order","114-2286381-6934634","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","MIAMI","FL","33122","MarketplaceFacilitator","34.99","2.45","0.25","0","0","0","0","0","-0.25","0","-2.45","-5.25","-6.21","0","0","23.53"
"Mar 8, 2025 4:03:27 AM PST","23163907481","Order","112-2776340-7778655","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","DAVENPORT","IA","52806","MarketplaceFacilitator","35.99","2.52","0","0","0","0","0","0","0","0","-2.52","-5.40","-6.21","0","0","24.38"
